title,full_time,part_time,requirements
Prep Cook,True,True,"['Serve Safe certified', 'CPR/Choke-saver certified', 'Communication & people skills', 'Strong Kitchen skills', 'Ability to work well under pressure and be a Team player', 'Speed in the kitchen', 'Passion for food', 'Sense of humor', 'Reliability', 'Enthusiasm', 'Work ethic']"
Team Member,True,True,"['Serve Safe certified', 'CPR/Choke-saver certified', 'Communication & people skills', 'Basic kitchen skills a plus but not a must', 'Ability to work well under pressure and be a team player', 'Speed', 'Passion for food', 'Sense of humor', 'Reliability', 'Enthusiasm', 'Work ethic']"
Team Lead,True,True,"['Sign-off of all stations, including cook position', 'Serve Safe certified', 'CPR/Choke-saver certified', 'Ability to interact with guests, friendly and difficult alike, and make quick guest-friendly decisions', 'Ability to communicate problems and solutions to the Boloco Team', 'Must be able to speak, read, write, and understand the primary language(s) of the work location', 'Basic computer skills', 'Passion for food']"
General Manager,True,False,"['Previous restaurant management experience required', 'Ability to interact with guests, friendly and difficult alike, and make quick guest-friendly decisions', 'Should know Microsoft Outlook, Microsoft Word and Microsoft Excel. PowerPoint helpful at times', 'Must be able to speak, read, write, and understand the primary language(s) of the work location', 'High level of comfort with the calculations necessary to produce and share financial results', 'Be able to laugh, celebrate, and appreciate the small victories.']"
Team Member,True,True,"['Serve Safe certified', 'CPR/Choke-saver certified', 'Communication & people skills', 'Basic kitchen skills a plus but not a must', 'Ability to work well under pressure and be a team player', 'Speed', 'Passion for food', 'Sense of humor', 'Reliability', 'Enthusiasm', 'Work ethic']"
Delivery Driver,False,True,"['Passion for food', 'A commitment to providing great guest service', 'Reliability', 'A safe driver with clean driving at least 18 years of age', 'Reliable car to deliver in', 'Must be a team player with a Can Do attitude and work well in a fast paced environment', 'Can communicate with co-workers and our guests']"
Line Cook,True,False,"['Passion for food', 'A commitment to providing great guest service', 'Reliability', 'Must be a team player with a Can Do attitude and work well in a fast paced environment', 'Can communicate with co-workers and our guests', 'Serv Safe Certified', 'CPR/Choke Saver Certified', 'Strong Kitchen Skills', 'Ability to work well under pressure and be a Team player', 'Speed in Kitchen', 'Sense of humor', 'Work Ethic']"
Manager,True,False,"['Any experience in the restaurant industry', 'Must be alert and fast paced with a sense of urgency', 'Must be dependable, honest and motivated', 'Must have good organization skills', 'Must have the ability to understand the needs of the guests', 'Must have great communication skills', 'May be required to lift product up to 30lbs or more', 'Basic computer skills: Internet, Word, Excel...']"
Assistant Manager,False,True,"['1+ year of experience working in any role in the restaurant industry', 'Must be humble with the desire to serve', 'Must be alert and fast paced with a sense of urgency', 'Must be dependable, honest and motivated', 'Must have good organization skills', 'Must have the ability to understand the needs of the guests', 'Must have great communication skills', 'May be required to lift product up to 30lbs or more', 'Must have basic computer skills (Internet, Word, Excel, etc.)']"
CiCi's Pizza Team Member,True,True,"['Must be enthusiastic with a great attitude', 'Ability to speak with people you have never met', 'Reliable transportation to work', 'Must be available on weekends day or night - must be available to work 3 weekday shifts and 2 weekend shifts']"
Part-time / Full-time Barista & Counter Staff,True,True,"['Flexible schedule - ability to work some evenings required', 'Must be able to lift up to 40lbs', 'Good verbal communication and ability to take feedback from customers', 'Ability to listen, learn, take direction from leadership (even learning how to create a flower-shaped cone within 20 seconds!)', 'Ability to work quickly, consistently, and efficiently on the counter line', 'Commitment to good hygiene and professional appearance', 'Knowledge of food safety a plus', 'Provide good employment references', 'Past retail or client/customer service experience in a fast-paced environment and/or six months of customer service as a Barista']"
Assistant Manager,True,False,"['Be competent in all phases of work done by counter staff, team leader and baristas', 'Offer a high-quality service in a clean and inviting environment', 'Operate cash register and make change; follow Amorino’s cash handling procedures', 'Keep shop inviting and clean: inside and out, front and back', 'Follow health, safety, and sanitation guidelines with care', 'Handling staff and customer concerns', 'Displaying skills in leadership and being a liaison between staff and management.', 'Accountant for opening and closing the store', 'Assisting in training of food server and team leader', 'Managing inventory and orders']"
Shift Leader,True,True,"['Top notch-customer service skills', 'Clean and organized-- and can make sure the store is as well', ""Follow and maintain Amorino's cash handling procedures, as well as handle accounting for store opening and closing"", 'Ability to follow health, safety, and sanitation guidelines with care', 'Ability to kindly and calmly handle staff and customer concerns', 'Great leadership skills', 'Ability to communicate clearly and effectively between staff and management', 'Ability to train new team members']"
Delivery help,False,True,"['Ability to lift 60 lbs walk a few feet and steps', 'Be punctual', 'A good work ethic and attitude']"
Store Manager,True,False,"['Previous experience as Manager in the food service preferred', 'A Food Protection Manager Certification is a plus', 'Great communication skills and a professional, friendly attitude', 'Ability to Manager a team of 20 people', 'Provide good employment references', 'Commitment to good hygiene and professional appearance', 'Has strong organizational skills', 'Being detail oriented, autonomous and perform well without daily supervision', 'Driver licence is required', 'Availability during weekends and holidays']"
